[DEBUG] start_sample=59327424000, end_sample=59442624000, data_sample_num=58752112816, len(data)=1382401552
[DEBUG] wav_idx=87, len(wav_list)=576, start_time=2024-09-16 15:30:28, last_processed_wav_index=85
[DEBUG] start_sample=60485376000, end_sample=60600576000, data_sample_num=60134514368, len(data)=1382401968
[DEBUG] wav_idx=88, len(wav_list)=576, start_time=2024-09-16 16:06:48, last_processed_wav_index=87
[DEBUG] start_sample=60903936000, end_sample=61019136000, data_sample_num=60825714832, len(data)=1382405104
[DEBUG] wav_idx=88, len(wav_list)=576, start_time=2024-09-16 16:44:12, last_processed_wav_index=88
[DEBUG] wav_idx=89, len(wav_list)=576, start_time=2024-09-16 17:04:37, last_processed_wav_index=88
[DEBUG] start_sample=61569984000, end_sample=61685184000, data_sample_num=61516916336, len(data)=1382405856
[DEBUG] wav_idx=90, len(wav_list)=576, start_time=2024-09-16 18:06:35, last_processed_wav_index=0
[DEBUG] start_sample=62283840000, end_sample=62399040000, data_sample_num=62208119936, len(data)=1382400704
[DEBUG] wav_idx=91, len(wav_list)=576, start_time=2024-09-16 19:59:27, last_processed_wav_index=90
[DEBUG] start_sample=63584064000, end_sample=63699264000, data_sample_num=62899322192, len(data)=1382402208
[DEBUG] wav_idx=92, len(wav_list)=576, start_time=2024-09-16 20:11:24, last_processed_wav_index=91
[DEBUG] start_sample=63721728000, end_sample=63836928000, data_sample_num=63590520640, len(data)=1382402624
[DEBUG] wav_idx=92, len(wav_list)=576, start_time=2024-09-16 20:34:09, last_processed_wav_index=92
[DEBUG] wav_idx=93, len(wav_list)=576, start_time=2024-09-16 21:23:46, last_processed_wav_index=92
[DEBUG] start_sample=64555392000, end_sample=64670592000, data_sample_num=64281724400, len(data)=1382403072
[DEBUG] wav_idx=96, len(wav_list)=576, start_time=2024-09-17 00:31:37, last_processed_wav_index=0
[DEBUG] start_sample=66719424000, end_sample=66834624000, data_sample_num=66355324464, len(data)=1382405776
[DEBUG] wav_idx=96, len(wav_list)=576, start_time=2024-09-17 00:41:48, last_processed_wav_index=96
[DEBUG] wav_idx=97, len(wav_list)=576, start_time=2024-09-17 01:40:38, last_processed_wav_index=96
[DEBUG] start_sample=67514496000, end_sample=67629696000, data_sample_num=67046527296, len(data)=1382404832
[DEBUG] wav_idx=99, len(wav_list)=576, start_time=2024-09-17 03:41:20, last_processed_wav_index=97
[DEBUG] start_sample=68904960000, end_sample=69020160000, data_sample_num=68428932128, len(data)=1382399408
[DEBUG] wav_idx=99, len(wav_list)=576, start_time=2024-09-17 03:56:29, last_processed_wav_index=99
[DEBUG] wav_idx=101, len(wav_list)=576, start_time=2024-09-17 05:59:10, last_processed_wav_index=0
[DEBUG] start_sample=70492800000, end_sample=70608000000, data_sample_num=69811331536, len(data)=1382402032
[DEBUG] wav_idx=102, len(wav_list)=576, start_time=2024-09-17 06:22:38, last_processed_wav_index=101
[DEBUG] start_sample=70763136000, end_sample=70878336000, data_sample_num=70502531936, len(data)=1382403600
[DEBUG] wav_idx=104, len(wav_list)=576, start_time=2024-09-17 08:10:36, last_processed_wav_index=102
[DEBUG] start_sample=72006912000, end_sample=72122112000, data_sample_num=71884935536, len(data)=1382404416
[DEBUG] wav_idx=104, len(wav_list)=576, start_time=2024-09-17 08:24:16, last_processed_wav_index=104
[DEBUG] wav_idx=104, len(wav_list)=576, start_time=2024-09-17 08:28:53, last_processed_wav_index=104
[DEBUG] wav_idx=106, len(wav_list)=576, start_time=2024-09-17 10:03:19, last_processed_wav_index=104
[DEBUG] start_sample=73305408000, end_sample=73420608000, data_sample_num=73267339952, len(data)=1382399680
[DEBUG] wav_idx=106, len(wav_list)=576, start_time=2024-09-17 10:21:08, last_processed_wav_index=106
[DEBUG] wav_idx=108, len(wav_list)=576, start_time=2024-09-17 12:01:56, last_processed_wav_index=0
[DEBUG] start_sample=74671872000, end_sample=74787072000, data_sample_num=74649739632, len(data)=1382407184
[DEBUG] wav_idx=109, len(wav_list)=576, start_time=2024-09-17 13:18:20, last_processed_wav_index=108
[DEBUG] start_sample=75552000000, end_sample=75667200000, data_sample_num=75340940832, len(data)=1382402512
[DEBUG] wav_idx=109, len(wav_list)=576, start_time=2024-09-17 13:33:35, last_processed_wav_index=109
[DEBUG] wav_idx=109, len(wav_list)=576, start_time=2024-09-17 13:39:38, last_processed_wav_index=109
[DEBUG] wav_idx=109, len(wav_list)=576, start_time=2024-09-17 13:57:44, last_processed_wav_index=109
[DEBUG] wav_idx=111, len(wav_list)=576, start_time=2024-09-17 15:07:41, last_processed_wav_index=109
[DEBUG] start_sample=76811712000, end_sample=76926912000, data_sample_num=76723343344, len(data)=1382403552
[DEBUG] wav_idx=111, len(wav_list)=576, start_time=2024-09-17 15:52:40, last_processed_wav_index=111
[DEBUG] wav_idx=111, len(wav_list)=576, start_time=2024-09-17 15:58:33, last_processed_wav_index=111
[DEBUG] wav_idx=112, len(wav_list)=576, start_time=2024-09-17 16:00:40, last_processed_wav_index=111
[DEBUG] start_sample=77422080000, end_sample=77537280000, data_sample_num=77414548496, len(data)=1382402576
[DEBUG] wav_idx=112, len(wav_list)=576, start_time=2024-09-17 16:28:39, last_processed_wav_index=112
[DEBUG] wav_idx=113, len(wav_list)=576, start_time=2024-09-17 17:04:24, last_processed_wav_index=112
[DEBUG] start_sample=78156288000, end_sample=78271488000, data_sample_num=78105746896, len(data)=1382401984
[DEBUG] wav_idx=113, len(wav_list)=576, start_time=2024-09-17 17:44:01, last_processed_wav_index=113
[DEBUG] wav_idx=113, len(wav_list)=576, start_time=2024-09-17 17:44:28, last_processed_wav_index=113
[DEBUG] wav_idx=114, len(wav_list)=576, start_time=2024-09-17 18:37:25, last_processed_wav_index=0
[DEBUG] start_sample=79227840000, end_sample=79343040000, data_sample_num=78796951072, len(data)=1382400192
[DEBUG] wav_idx=115, len(wav_list)=576, start_time=2024-09-17 19:18:11, last_processed_wav_index=114
[DEBUG] start_sample=79697472000, end_sample=79812672000, data_sample_num=79488148880, len(data)=1382402176
[DEBUG] wav_idx=116, len(wav_list)=576, start_time=2024-09-17 20:18:53, last_processed_wav_index=115
[DEBUG] start_sample=80396736000, end_sample=80511936000, data_sample_num=80179351264, len(data)=1382403312
[DEBUG] wav_idx=117, len(wav_list)=576, start_time=2024-09-17 21:00:43, last_processed_wav_index=116
[DEBUG] start_sample=80878656000, end_sample=80993856000, data_sample_num=80870551056, len(data)=1382406160
[DEBUG] wav_idx=118, len(wav_list)=576, start_time=2024-09-17 22:35:05, last_processed_wav_index=117
[DEBUG] start_sample=81965760000, end_sample=82080960000, data_sample_num=81561754576, len(data)=1382404640
[DEBUG] wav_idx=121, len(wav_list)=576, start_time=2024-09-18 01:05:39, last_processed_wav_index=0
[DEBUG] start_sample=83700288000, end_sample=83815488000, data_sample_num=83635358480, len(data)=1382400288
[DEBUG] wav_idx=121, len(wav_list)=576, start_time=2024-09-18 01:22:59, last_processed_wav_index=121
[DEBUG] wav_idx=121, len(wav_list)=576, start_time=2024-09-18 01:41:59, last_processed_wav_index=121
[DEBUG] wav_idx=121, len(wav_list)=576, start_time=2024-09-18 01:59:25, last_processed_wav_index=121
[DEBUG] wav_idx=122, len(wav_list)=576, start_time=2024-09-18 02:04:04, last_processed_wav_index=121
[DEBUG] start_sample=84373248000, end_sample=84488448000, data_sample_num=84326558080, len(data)=1382403104
[DEBUG] wav_idx=122, len(wav_list)=576, start_time=2024-09-18 02:38:59, last_processed_wav_index=122
[DEBUG] wav_idx=122, len(wav_list)=576, start_time=2024-09-18 02:42:01, last_processed_wav_index=122
[DEBUG] wav_idx=122, len(wav_list)=576, start_time=2024-09-18 02:51:10, last_processed_wav_index=122
[DEBUG] wav_idx=124, len(wav_list)=576, start_time=2024-09-18 04:28:16, last_processed_wav_index=122
[DEBUG] start_sample=86034432000, end_sample=86149632000, data_sample_num=85708961184, len(data)=1382402784
[DEBUG] wav_idx=124, len(wav_list)=576, start_time=2024-09-18 04:46:13, last_processed_wav_index=124
[DEBUG] wav_idx=124, len(wav_list)=576, start_time=2024-09-18 04:53:29, last_processed_wav_index=124
[DEBUG] wav_idx=126, len(wav_list)=576, start_time=2024-09-18 06:27:04, last_processed_wav_index=0
[DEBUG] start_sample=87403008000, end_sample=87518208000, data_sample_num=87091363968, len(data)=1382400160
[DEBUG] wav_idx=126, len(wav_list)=576, start_time=2024-09-18 06:57:00, last_processed_wav_index=126
[DEBUG] wav_idx=126, len(wav_list)=576, start_time=2024-09-18 06:59:11, last_processed_wav_index=126
[DEBUG] wav_idx=130, len(wav_list)=576, start_time=2024-09-18 10:13:52, last_processed_wav_index=126
[DEBUG] start_sample=90015744000, end_sample=90130944000, data_sample_num=89856167072, len(data)=1382406000
[DEBUG] wav_idx=130, len(wav_list)=576, start_time=2024-09-18 10:23:46, last_processed_wav_index=130
[DEBUG] wav_idx=131, len(wav_list)=576, start_time=2024-09-18 11:14:11, last_processed_wav_index=130
[DEBUG] start_sample=90710592000, end_sample=90825792000, data_sample_num=90547369968, len(data)=1382404640
[DEBUG] wav_idx=131, len(wav_list)=576, start_time=2024-09-18 11:53:07, last_processed_wav_index=131
[DEBUG] wav_idx=132, len(wav_list)=576, start_time=2024-09-18 12:20:42, last_processed_wav_index=0
[DEBUG] start_sample=91476864000, end_sample=91592064000, data_sample_num=91238573072, len(data)=1382399824
[DEBUG] wav_idx=134, len(wav_list)=576, start_time=2024-09-18 14:05:37, last_processed_wav_index=132
[DEBUG] start_sample=92685504000, end_sample=92800704000, data_sample_num=92620972896, len(data)=1382403824
[DEBUG] wav_idx=134, len(wav_list)=576, start_time=2024-09-18 14:23:31, last_processed_wav_index=134
[DEBUG] wav_idx=134, len(wav_list)=576, start_time=2024-09-18 14:55:08, last_processed_wav_index=134
